squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,hasGuestRoom,price,category
66569,59,1,1,56,15574,7,9,10,6667802.6,1
84559,29,0,1,69,53057,7,7,8,8460604,0
28749,39,0,1,53,80821,6,5,3,2877997.6,0
76091,38,1,0,32,59451,5,8,7,7614076.6,0
92696,49,1,0,38,74381,9,2,2,9272740.1,0
46988,66,1,1,27,4863,9,10,4,4707341.1,1
48062,22,0,1,4,28104,1,10,1,4809993.8,0
5767,97,1,1,11,44551,7,3,4,586742.8,1
59800,47,0,1,27,44815,6,9,4,5984462.1,0
54836,25,0,1,53,64601,10,5,6,5492532,0
54318,10,1,1,52,76737,4,2,1,5444967.8,1
70021,52,1,0,28,95678,4,6,1,7005572.2,0
54368,11,1,1,20,55761,3,7,8,5446398.1,0
31421,29,0,1,68,67505,5,3,5,3147829.9,0
63053,6,1,1,28,45312,3,1,8,6315375.7,0
4187,89,0,1,17,7488,1,6,2,421906.4,0
33108,82,0,1,83,52015,6,10,2,3316069.6,0
64393,8,0,0,51,95335,4,1,6,6441378,0
93876,60,0,1,70,5484,2,1,8,9390891.9,0
67040,60,1,1,22,1690,4,8,0,6714247.3,1
47938,17,0,0,68,64247,7,1,8,4797883.3,0
39090,57,1,0,74,2922,4,9,6,3917691,0
43609,66,0,0,55,6739,4,9,7,4364910.5,0
41998,74,1,0,17,32039,6,1,9,4203344,0
36496,9,0,1,47,51526,5,1,0,3656368.7,0
84016,15,1,0,55,63595,1,7,2,8410054.6,0
3087,27,1,1,94,9283,3,10,1,321717.5,1
89768,48,1,1,17,71000,6,9,7,8980518.3,0
30226,74,1,1,87,71053,10,9,4,3039243.7,0
58478,5,0,1,35,5898,6,10,7,5853710.6,0
66621,48,0,0,89,52165,10,1,4,6666403.5,0
73314,43,0,1,38,49895,10,1,8,7336538.8,0
59972,28,0,1,18,32083,9,8,4,6000826.1,0
71591,20,1,0,58,46834,7,4,0,7165980.8,0
92462,52,1,1,46,22405,9,6,8,9257840.9,1
52325,60,1,1,24,76804,6,5,4,5238533.2,1
67311,67,0,0,10,45626,3,3,5,6732249,0
45050,99,0,1,87,20318,4,8,3,4508695.3,0
61534,73,1,0,97,22943,9,5,6,6159875.1,0
84091,50,0,1,72,22718,7,5,8,8414104.3,0
77579,69,1,1,97,88798,6,1,8,7767797.9,1
25204,31,1,1,37,87552,4,10,6,2530488,1
42059,46,0,1,62,43289,6,3,3,4212125.7,0
38430,43,0,1,51,3406,6,4,8,3846214.1,0
7069,4,0,0,89,55300,9,2,3,709107.9,0
34780,75,0,1,9,67297,4,5,4,3480536.9,0
12757,100,1,0,7,19550,7,8,5,1277834,0
33749,74,0,1,38,73976,10,7,2,3380855.9,0
600,37,1,0,43,72736,4,7,1,63402.1,0
7239,61,1,0,83,26435,4,7,4,733776.4,0
34919,20,1,1,84,60113,5,1,2,3499532.7,0
25614,29,0,0,27,52970,4,1,9,2563970.4,0
51434,64,0,0,23,79754,10,2,7,5146226.2,0
78960,55,0,1,76,23408,8,4,0,7900996.5,0
70751,64,1,1,41,92268,1,9,7,7084110.6,1
81870,60,0,1,100,58048,3,8,3,8198185,0
91559,36,0,1,21,82521,6,2,8,9161130.7,0
72098,9,0,1,67,91168,2,3,9,7216904.4,0
23177,19,0,0,52,69373,4,1,6,2318776.3,0
39517,92,0,0,85,51212,4,6,9,3953491.9,0
55232,23,0,0,8,849,8,3,6,5524015.1,0
53735,49,0,1,92,2423,4,7,8,5384554.6,0
67753,72,1,1,78,31721,3,9,6,6789580.5,1
1450,59,0,0,1,2317,10,9,10,146181.8,0
82141,93,1,1,61,74213,3,7,4,8225970.9,1
17868,73,1,0,35,48674,4,9,2,1792308.3,0
71397,71,0,0,93,68199,3,10,2,7145471.5,0
32623,35,0,1,14,80204,10,6,8,3267852.3,0
23841,71,1,1,25,32106,3,7,1,2390804,1
16495,94,0,0,6,90448,3,10,7,1650711.1,0
39109,24,1,0,67,74477,4,3,9,3917652.2,0
65151,81,1,1,3,66191,7,9,4,6522781.1,0
61484,91,1,0,94,87015,8,8,3,6154833.3,0
57160,15,1,1,43,40786,8,8,2,5724102.2,0
13346,57,0,0,57,30010,6,8,8,1336414.1,0
27351,77,0,0,36,98465,4,1,0,2738851.7,0
18466,50,0,1,60,89670,5,2,5,1849227,0
45441,29,1,0,66,21239,3,5,6,4552319.4,0
55933,15,0,0,97,5800,9,8,6,5599976.1,0
81936,68,0,0,92,6143,3,1,0,8198107.1,0
18237,70,1,0,74,25093,9,6,9,1833338.1,0
35631,54,1,0,7,77355,10,6,10,3568002.8,0
99683,12,1,0,77,18300,5,8,6,9977000.2,0
47664,44,0,0,77,98008,6,3,6,4770073,0
62887,45,0,1,7,91125,4,3,4,6293710.3,0
18470,20,1,1,73,9406,3,1,6,1852115,1
36031,63,1,0,47,74698,9,8,4,3612495.1,0
22776,84,0,0,5,82401,9,9,7,2278599.3,0
14830,81,1,0,1,17641,1,10,9,1487488.2,0
43944,40,1,0,69,5581,10,5,6,4403326.2,0
73062,34,1,1,38,44770,4,8,0,7313447.6,0
84284,76,0,0,39,55723,5,1,6,8432554.8,0
9619,66,1,0,91,82543,9,5,10,969806.1,0
11410,96,0,1,96,85454,8,3,1,1150663.9,0
29855,63,0,0,23,78080,5,5,6,2987645,0
46716,94,0,0,58,25303,8,5,3,4674140.8,0
77046,69,1,0,85,43517,4,2,3,7714235.2,0
58855,1,0,0,66,20127,3,7,3,5892518.4,0
69165,66,1,0,74,51371,4,4,9,6926290.9,0
57915,25,0,1,84,87517,10,4,5,5800324.7,0
66279,47,1,0,9,21934,3,2,10,6631365.3,0
16068,21,1,0,13,21716,8,8,2,1611707.1,0
74325,50,1,1,58,91978,8,10,5,7443433.4,0
35742,46,1,1,47,84138,7,1,7,3581003.4,1
9026,51,1,0,28,85842,1,5,10,904797,0
16899,19,0,1,14,47328,2,4,7,1693690,0
99854,82,0,0,64,82741,3,8,7,9989598.9,0
33743,56,1,1,29,21945,10,8,6,3382812.6,0
72798,22,1,1,30,61212,9,3,7,7290431.7,0
86492,21,0,0,86,42450,3,7,0,8654049.2,0
38937,35,0,1,77,2867,2,6,1,3901433.3,0
24762,22,0,1,62,50367,10,10,1,2480900.9,0
91047,45,0,0,65,41065,8,2,1,9109264.9,0
55527,64,0,1,44,61931,4,2,9,5557814.5,0
70606,17,1,1,79,38,7,3,5,7070662.7,1
67327,47,0,0,87,26709,9,3,10,6741466,0
6125,90,0,1,29,95979,1,2,10,615143.2,0
71833,37,0,1,51,58147,2,5,6,7185318.3,0
20811,98,1,1,71,91543,1,4,3,2090690.5,0
7643,98,0,0,63,5989,2,3,7,765618.9,0
16669,95,1,1,81,15949,4,3,1,1676719.7,0
84006,73,1,1,97,54296,4,7,4,8409827,1
34059,49,0,0,90,63489,4,8,2,3412619.3,0
36131,95,0,0,88,72385,8,8,8,3620939.1,0
8201,18,1,1,66,38920,7,2,6,826967.7,0
38398,84,0,0,22,44513,6,8,8,3842545.4,0
38833,10,0,0,14,28075,4,3,8,3884619.4,0
41488,22,0,0,59,2019,9,1,3,4151539.3,0
5205,2,0,0,15,71289,7,3,0,521650.5,0
45066,28,0,0,62,85825,9,5,0,4508367.3,0
63875,53,1,1,14,54408,7,3,6,6394774.9,1
25052,88,0,0,94,1083,8,6,10,2515214,0
51457,64,0,1,32,68294,3,10,4,5150600.6,0
84396,64,0,0,96,88421,6,7,2,8449333.5,0
64920,98,0,1,63,1173,8,8,6,6501809.6,0
9166,4,1,0,16,26610,4,1,8,922847.5,0
85558,48,1,0,83,55318,2,9,0,8568781.7,0
87267,75,1,0,81,57714,6,10,4,8731940.9,0
96091,100,0,1,24,99874,10,3,6,9615021.9,0
38003,98,1,0,6,49191,8,10,2,3803545.8,0
83120,97,0,1,68,93953,6,6,1,8318749.5,0
20468,100,1,0,34,63924,6,4,0,2049846.3,0
75152,91,1,0,37,61836,3,3,2,7518709.8,0
32688,9,1,1,18,86166,6,5,7,3274057.3,0
45868,72,1,1,69,33082,5,7,10,4600708.4,1
73900,69,0,1,36,57473,4,3,4,7394635.8,0
16000,41,1,1,25,86898,9,4,6,1606948.7,0
1423,59,0,1,30,21687,8,4,8,149234.3,0
29951,37,1,1,13,56604,6,8,0,3002371.5,1
40231,84,0,1,41,64474,4,5,0,4030226.9,0
59517,38,1,0,69,93928,8,8,6,5958698.3,0
98969,26,1,0,69,36941,10,8,5,9902968.3,0
99177,49,0,0,41,5100,6,10,3,9919217.1,0
89157,46,0,0,42,34482,3,6,4,8920282.9,0
67429,60,0,1,24,89820,8,7,1,6749654.1,0
38431,57,1,0,60,69199,9,3,8,3848467,0
72495,76,1,1,59,8723,8,10,0,7259025.4,1
85362,77,1,0,19,40604,6,5,4,8541211.7,0
28597,93,0,0,47,16237,3,9,8,2863386,0
13687,36,1,1,93,2400,3,5,5,1376329.1,1
50479,3,0,1,73,39939,5,9,5,5057657,0
98121,38,0,1,57,20289,7,4,2,9817494.5,0
57736,16,0,0,21,83855,9,6,2,5775940.9,0
30356,40,0,0,85,13378,7,1,8,3039209.2,0
21141,38,0,1,80,65184,10,3,10,2126023.8,0
98122,34,0,0,7,80176,7,4,5,9813433.9,0
34746,12,1,0,15,57668,10,5,4,3478332,0
17297,43,1,1,19,99289,7,5,2,1738971.2,1
80324,47,1,1,7,20394,3,2,9,8039714.3,1
15815,13,1,1,2,2179,7,1,4,1585031.9,1
1066,5,1,1,46,65388,4,9,5,114605.7,0
79275,95,0,1,67,13000,5,9,3,7930383.5,0
20658,7,1,1,48,80216,4,10,10,2076936.7,0
8687,88,0,1,64,2052,3,6,3,877525.3,0
69638,42,1,1,63,89878,1,2,6,6977654.1,1
94036,18,0,0,19,79418,10,9,10,9406163.1,0
60889,72,0,0,87,55928,6,8,7,6091341.8,0
11680,21,0,0,14,5324,10,1,6,1169431.2,0
11458,96,1,1,31,95286,9,5,6,1154040,1
20397,67,0,0,79,29406,8,7,3,2042985.7,0
83206,34,1,0,51,27565,9,9,9,8326302.9,0
8951,11,1,0,63,32412,1,10,1,904889.7,0
22854,41,1,0,89,74420,4,7,0,2292467.1,0
46042,52,0,0,74,45861,9,8,5,4605791.5,0
93506,20,1,0,28,7068,8,9,8,9356982.7,0
58748,76,0,0,40,20761,2,5,2,5875981,0
715,71,0,0,23,33439,7,3,8,74252,0
55327,22,1,0,59,76622,1,2,8,5540589.3,0
63631,84,1,0,12,31269,6,10,4,6369055,0
77915,99,0,0,21,63942,5,10,4,7793915.8,0
91804,5,0,0,81,87339,3,9,8,9182083.9,0
57295,95,0,0,69,32081,2,2,7,5731510.4,0
61057,65,1,0,77,17051,9,8,6,6114671.8,0
91626,83,1,0,55,59173,4,5,8,9169068.1,0
29356,96,1,1,46,4864,4,9,3,2948071,1
27134,62,1,0,2,1498,7,7,3,2715604.3,0
1682,65,1,0,79,7602,2,3,4,174918.7,0
98868,41,0,1,67,85917,7,3,3,9892300.1,0
23898,62,1,0,93,73176,9,9,1,2399286.6,0
83110,43,1,0,75,55046,7,10,7,8321631.1,0
71154,67,0,1,53,8762,2,6,8,7122699.1,0
90841,48,1,0,15,25300,6,5,9,9086177.3,0
68416,87,1,0,48,60979,8,7,6,6846709,0
47585,95,0,0,5,81532,5,1,0,4759724.3,0
28452,79,1,0,40,79918,4,10,2,2850377.6,0
15630,78,1,0,4,98750,7,3,0,1565985.6,0
65900,36,1,1,99,27819,1,5,1,6605894.7,0
21600,94,1,0,56,85215,10,8,3,2166421,0
74704,31,0,0,22,93675,1,9,9,7472587.2,0
87291,78,1,1,42,5950,3,3,2,8739254.7,0
96687,65,0,1,81,70871,4,4,6,9673884.2,0
60567,65,1,1,100,39919,7,6,0,6071330.9,1
4872,41,0,0,74,79028,9,6,6,489455,0
9157,48,1,0,53,6500,4,10,8,922102.9,0
65217,26,1,1,39,96357,6,8,10,6531999.9,0
87346,56,1,1,82,34773,9,9,4,8743241,0
47701,26,1,0,46,73572,3,5,3,4773352.1,0
14766,50,0,1,79,36865,8,1,4,1488265.1,0
94841,19,1,1,75,11526,3,5,6,9498026.8,1
59318,92,0,0,91,68354,9,8,5,5939275.2,0
1796,28,0,0,4,66676,1,1,4,180265.7,0
96526,36,1,1,34,61875,5,2,0,9661068,0
62876,36,0,0,9,90089,4,8,4,6288117.6,0
59558,43,1,1,89,79779,4,3,5,5967916.2,0
97008,89,0,1,4,11466,9,5,0,9703551.4,0
66746,6,1,0,10,22139,7,3,3,6678869.7,0
25776,36,0,0,93,4777,5,9,10,2582235.2,0
96195,97,0,1,64,91809,7,4,3,9626665.8,0
4805,47,1,1,99,48026,5,5,0,486824.5,0
23045,21,1,0,75,72570,5,5,0,2312202,0
95441,70,0,1,65,3574,6,10,3,9554998.7,0
28381,34,1,0,64,44973,6,2,2,2847241.9,0
15731,34,1,1,37,93825,5,2,5,1582940.3,0
18966,58,1,0,25,4414,10,4,0,1902151.9,0
24393,46,1,1,16,18507,4,8,2,2449464.9,0
53339,67,0,0,11,6144,4,1,3,5335546.3,0
44053,17,1,0,55,70068,9,3,3,4413295.4,0
70898,98,0,0,92,51635,6,1,3,7091863.4,0
84483,41,1,0,85,28464,10,3,6,8452134.9,0
35716,24,1,0,52,77207,4,2,10,3574932.3,0
64693,64,0,0,81,90290,10,9,7,6471378.3,0
32593,40,1,0,94,89328,2,9,2,3265750.6,0
1607,63,1,1,52,32832,10,8,7,173112,1
39484,74,0,1,30,6688,6,4,9,3954971.1,0
32458,28,1,1,20,47125,1,3,7,3253846.5,0
72243,64,0,1,23,34837,2,1,3,7229477.4,0
20624,44,1,0,83,50284,10,2,4,2070369.6,0
7443,38,1,0,41,4785,8,8,1,748338.5,0
78382,41,0,0,14,58781,7,1,6,7840062,0
70614,15,1,1,100,61317,10,5,2,7075926,1
32235,59,1,0,10,76786,2,6,10,3225143.6,0
2523,12,1,1,67,75753,3,10,1,260710.5,1
87864,55,0,0,77,48421,8,4,9,8790481.9,0
18316,97,0,0,3,68804,10,5,9,1832673.1,0
94471,30,1,1,79,55210,6,1,3,9454072.1,0
60704,96,1,1,29,18856,1,10,2,6080655.4,0
54020,4,1,0,64,58230,1,3,4,5406334.3,0
59612,37,1,0,56,69063,10,7,2,5967739.7,0
56467,63,0,0,41,28576,3,2,0,5649094,0
65625,55,0,1,36,89469,2,10,10,6567597.5,0
41570,76,0,1,98,21758,10,4,10,4167932.4,0
44862,99,0,1,68,58122,7,5,3,4493882.2,0
47212,37,1,1,81,4826,7,4,9,4734236.1,0
2840,17,1,0,26,94918,4,4,10,288797.4,0
40465,85,0,0,100,6023,4,9,0,4052600.4,0
17191,80,1,1,29,49538,2,5,9,1728829.5,1
56480,85,1,0,80,21192,8,3,1,5653048.6,0
70503,78,0,0,29,72210,2,6,4,7051701.1,0
4885,100,0,0,54,79559,7,8,6,493693.3,0
58263,65,1,1,57,39046,9,10,3,5840294.6,0
47647,52,0,1,6,24285,10,2,10,4768169.2,0
57916,51,0,0,24,8801,8,1,1,5792783.8,0
6396,71,0,0,40,28917,6,6,9,643620.5,0
41972,18,0,1,49,40098,7,7,0,4206464.5,0
94311,11,1,0,47,89062,8,1,7,9439790.7,0
10714,41,0,1,98,23803,5,6,6,1075982.6,0
11259,26,0,1,82,34780,10,4,7,1134964,0
3534,16,1,1,13,39998,4,1,0,359850.3,0
52680,10,0,1,79,10177,6,4,0,5274696.1,0
62711,60,0,0,29,42211,8,10,6,6272944.7,0
19268,12,1,0,77,38471,3,5,3,1938014,0
36119,39,1,0,46,16503,7,4,3,3620813.9,0
28394,53,0,0,7,81916,8,8,2,2840816.3,0
20392,33,1,0,84,53104,10,5,2,2046763.7,0
7259,25,1,1,39,860,1,4,5,735079.4,0
28183,81,0,0,52,44087,5,2,10,2821593.3,0
92188,14,0,1,95,5286,10,2,0,9227140.6,0
29815,28,0,0,77,46462,9,7,0,2989048.5,0
50219,96,1,0,54,23667,9,6,0,5025975.3,0
1722,56,0,1,84,27948,8,8,2,182838.2,0
70399,14,0,1,85,82950,6,5,4,7048784.3,0
28790,52,1,0,15,13856,7,6,4,2883447.1,0
92962,7,1,1,37,32437,5,1,3,9304587,1
34245,2,1,0,85,50891,4,4,5,3430728,0
54677,64,1,1,94,77132,2,10,2,5477618.6,1
74227,84,1,0,5,98736,7,7,5,7427853,0
94939,46,1,1,48,55155,9,10,7,9503765.9,1
48884,58,1,0,32,15276,1,7,9,4895277,0
10638,39,0,0,33,64229,5,4,10,1066200.6,0
90315,61,1,1,91,21653,7,7,7,9044477.4,1
17633,28,0,0,83,83228,6,2,2,1767487.3,0
63242,45,0,1,18,63066,4,10,1,6327623.7,0
79344,46,1,1,42,19012,2,3,7,7945562.1,1
72093,48,0,1,92,83520,8,1,9,7223902.5,0
13378,59,1,0,9,2735,1,1,7,1342476.1,0
47019,35,0,1,9,60947,8,4,6,4706162,0
34666,75,1,1,14,28826,5,2,6,3477313.2,1
93509,28,1,1,62,48468,6,2,6,9361261.2,1
13583,42,1,0,32,42009,7,2,10,1364589.5,0
19649,11,0,1,83,87255,4,4,2,1970018.9,0
141,16,0,1,58,42248,5,4,4,22670.7,0
22821,64,1,1,14,66304,9,8,2,2289134.3,1
533,76,1,1,55,94923,6,8,9,65465.1,1
67020,71,1,1,38,64361,4,7,1,6711051.5,0
49094,30,1,0,49,90656,9,2,8,4916616.1,0
25269,88,0,0,92,86720,6,7,1,2530193.9,0
71989,41,0,0,77,50519,2,3,4,7204744.3,0
73180,1,1,1,54,38386,9,7,10,7325717.1,0
18926,58,1,1,84,32618,6,4,8,1908217.8,1
6492,76,0,0,88,81044,10,3,9,652565.8,0
98045,4,1,1,8,78526,4,5,0,9814193.2,0
51589,83,0,1,43,55528,6,10,5,5167451.8,0
24390,75,1,0,44,70527,10,9,1,2446317.2,0
75890,10,0,1,59,33129,9,5,8,7597786.1,0
29220,9,0,1,59,33789,7,6,0,2929116.4,0
72433,57,1,1,18,69864,7,7,0,7250644.1,0
57467,98,0,0,64,24393,7,3,2,5749361.3,0
81482,76,1,0,9,56103,1,7,6,8153070.7,0
61346,69,0,1,52,63238,7,10,10,6141452.9,0
80915,23,1,1,67,46095,9,6,0,8104297.2,1
65479,74,0,1,35,99953,10,5,10,6552454,0
48302,22,1,0,13,82376,2,9,1,4833604.7,0
76690,21,1,1,99,91395,1,1,8,7682267,1
14447,39,0,1,23,93847,6,8,6,1448447.2,0
24213,31,1,1,93,51767,1,7,5,2431969.4,1
1843,30,1,1,3,3,4,7,5,189919.7,1
78183,65,1,1,86,3648,7,9,4,7829898.7,0
99323,35,0,1,28,69665,6,7,3,9939399.8,0
67491,21,0,0,57,5308,6,7,0,6750826.7,0
2588,82,1,0,69,25395,1,5,8,267798.6,0
76635,6,1,1,1,73981,2,5,1,7669791.9,0
45070,100,0,0,92,21335,9,9,0,4510977.7,0
62381,58,1,0,44,22862,1,4,6,6243323.3,0
98543,2,1,0,44,88249,1,3,7,9860222.2,0
13972,39,0,0,8,91674,2,2,2,1397748.9,0
71567,70,0,1,94,64245,10,8,4,7166917.2,0
36804,99,0,0,12,76338,2,8,6,3681839.6,0
21297,71,1,1,14,75154,2,3,4,2136801.5,1
9950,1,1,0,69,79019,5,10,4,1000736.2,0
3661,50,1,1,24,1138,3,8,7,372556.7,1
88102,51,1,0,70,42082,8,3,9,8821018.6,0
72596,91,0,0,90,32957,7,6,0,7262781.5,0
70763,4,1,0,38,18220,10,4,9,7082373.5,0
12002,58,0,0,41,2764,8,8,1,1203664.5,0
26146,34,0,1,98,431,7,9,7,2627462.1,0
13716,62,0,1,98,61202,6,8,10,1382883,0
23281,32,1,1,52,87667,9,10,3,2339782,1
3824,45,1,1,9,11597,5,6,0,386574.9,0
56086,3,1,0,46,52007,6,2,1,5615576.1,0
19014,67,1,0,89,82387,8,2,6,1912984.9,0
80808,59,1,0,1,18733,7,5,5,8085990.4,0
83602,5,0,1,2,48528,9,7,5,8365162.1,0
99767,27,0,1,79,46530,2,8,2,9985836.8,0
60675,32,1,0,51,97066,9,7,6,6075733.2,0
20210,2,1,0,78,77066,1,8,4,2029228.7,0
28694,82,0,0,20,44298,2,3,3,2870499.1,0
45521,53,0,0,32,26627,9,9,7,4554205.1,0
55727,46,0,0,77,94339,5,5,2,5574845.6,0
17307,20,1,0,66,81794,5,8,2,1740869.6,0
86474,98,0,0,33,50147,1,6,7,8649993.4,0
6012,53,1,0,38,96011,8,7,4,607323.3,0
6617,51,0,0,38,26766,10,4,10,663333,0
34061,43,0,0,90,26346,3,1,9,3407529.3,0
12881,12,1,0,68,85503,10,5,0,1293712.6,0
48458,82,1,0,72,98206,3,6,6,4851198.2,0
89618,49,1,0,36,30029,1,6,0,8969519.6,0
10369,30,1,0,68,51049,8,10,10,1044857.9,0
21865,24,0,1,79,50297,10,5,3,2191960.3,0
30817,48,0,0,63,26230,9,3,3,3086005.3,0
8808,85,1,0,37,93756,5,10,5,888730.8,0
16006,69,1,1,26,6423,7,10,3,1610901,1
70517,37,0,0,1,67679,5,6,5,7052408.2,0
55592,68,0,1,10,80811,7,6,0,5564877.1,0
10978,17,0,1,55,25000,2,9,6,1103882.5,0
94388,7,1,0,81,41690,8,8,8,9446167.6,0
18041,90,1,0,99,90750,6,8,3,1817658.6,0
18220,91,0,1,97,50508,8,4,2,1833031.3,0
39342,7,1,1,84,88712,5,7,2,3946165.4,0
66570,59,0,0,2,85412,7,10,6,6657976.8,0
34592,100,0,1,33,63748,1,7,5,3465076.4,0
38700,25,1,1,26,101,4,7,8,3880396.6,0
32060,25,0,1,97,43201,8,9,8,3211741.7,0
8305,86,0,0,83,36778,9,9,4,838488.1,0
40080,50,0,0,82,11062,8,8,0,4011225.8,0
89335,66,1,1,54,25219,7,2,8,8938823.4,0
78546,92,0,1,84,52906,10,6,4,7864949.1,0
50066,63,0,1,67,81340,8,5,1,5015729.8,0
37008,61,1,1,75,13250,6,3,7,3708694.3,1
32876,98,1,1,32,48832,7,9,8,3299047.8,1
98266,14,1,1,42,27552,8,10,9,9838529,1
53665,66,1,1,81,16527,10,3,8,5379979.2,1
33469,98,1,1,91,29874,7,7,8,3362757.6,0
42578,49,1,1,23,3339,7,8,6,4264812.3,1
64329,25,1,0,44,54901,4,5,5,6436473.9,0
29512,96,0,1,26,49748,2,8,9,2955396.2,0
241,78,0,1,50,86182,7,6,7,29643.3,0
32709,47,1,1,80,86465,1,3,5,3284181.6,0
29271,70,0,1,98,33402,10,3,6,2938810.1,0
15542,19,0,0,27,48610,8,7,5,1556824.6,0
94951,52,0,1,80,45083,8,4,3,9498811.4,0
12296,54,1,0,45,44308,9,10,0,1233872.8,0
42390,17,0,0,96,16776,5,1,0,4245306.1,0
2157,22,0,0,93,68218,5,4,9,222104.1,0
70576,66,1,0,7,75420,4,7,9,7061024.3,0
22232,24,0,1,52,20211,5,9,8,2230267.5,0
31368,78,1,0,86,96715,4,5,0,3142605.7,0
2713,76,0,0,19,66674,8,5,1,273858,0
40939,60,1,0,6,67333,4,7,8,4097363.7,0
84892,59,0,0,46,1488,6,10,3,8492982.7,0
43332,60,0,1,24,16226,5,5,4,4336691.2,0
39445,100,0,0,66,31733,10,5,10,3947777,0
82032,78,1,0,64,11922,9,10,8,8209534.4,0
813,45,0,1,15,52891,7,2,7,84647.8,0
43432,44,0,1,34,780,1,4,6,4347238,0
80988,34,0,1,57,56385,6,10,10,8104253.5,0
99444,68,1,0,60,93693,2,4,5,9947284.1,0
37618,57,0,0,45,59333,2,3,9,3766350.8,0
63973,18,1,0,78,40739,1,10,10,6405935.2,0
99107,54,0,1,65,88495,3,4,3,9916550.8,0
71519,12,0,1,80,24484,1,8,2,7156303.2,0
91841,77,0,0,14,19103,5,2,0,9185367.1,0
28467,98,1,1,70,90596,7,6,10,2855561.9,0
77075,52,1,0,11,13884,10,10,4,7713855.2,0
91776,26,0,0,72,92099,10,1,4,9184100.1,0
69948,45,1,1,59,38826,10,3,3,7006951.7,0
68593,3,1,1,65,78866,3,3,7,6867934.1,0
56774,50,1,0,23,45524,7,4,3,5682955.5,0
84577,63,0,1,64,43522,6,7,0,8467175.1,0
78835,77,0,0,84,40276,3,6,1,7887862.2,0
59073,82,0,1,38,50312,1,5,2,5909662.3,0
6704,83,1,1,59,94479,8,10,1,682123.2,1
20968,48,1,0,6,39273,3,6,6,2100783.2,0
64244,20,1,0,82,89404,6,9,6,6435074.1,0
54133,1,0,1,89,49508,2,3,2,5426671.3,0
90842,60,1,1,25,25975,3,6,5,9092168.5,0
51780,83,0,0,88,3391,3,8,4,5184160.1,0
38722,91,1,0,22,20239,5,5,2,3876450.8,0
51127,85,1,0,66,53060,2,2,5,5119947.6,0
31802,100,0,0,80,6094,7,3,10,3184469,0
26770,8,1,1,69,79970,10,8,2,2687139.6,1
63839,58,1,1,2,92707,4,6,6,6389327.9,0
56181,76,0,1,98,27961,4,4,7,5630006.6,0
91757,82,0,0,78,92525,8,4,6,9182239.2,0
54200,51,0,0,43,34559,2,5,3,5423195,0
29788,61,0,0,68,65901,2,3,1,2983377.1,0
29180,7,1,0,1,71840,5,8,10,2923248.9,0
30630,62,0,1,65,24522,1,5,4,3072463.6,0
81114,23,0,1,89,34182,6,2,9,8118084.7,0
96016,48,0,1,35,76744,6,4,1,9605401.8,0
8977,53,0,1,62,91218,1,3,5,905963.4,0
92508,60,0,0,88,67387,6,7,4,9257332.6,0
